report_quarter,added_projects,added_mw,removed_projects,removed_mw,load_change_net_mw,stage_changes_count,avg_delay_months
2024Q1,0,0.0,22,6080.0,-204.0,9,5.29
2024Q2,0,0.0,12,2595.0,-581.0,5,9.13
2024Q3,31,14737.0,12,3002.0,134.0,3,4.74
2024Q4,19,12203.0,4,1698.0,-957.0,3,9.85
2025Q1,20,10571.0,9,2291.0,-367.0,0,5.19
2025Q2,12,11980.0,9,1636.0,375.0,1,14.27
2025Q3,14,13560.0,25,14345.0,1606.0,4,6.43
2025Q4,24,46070.0,25,14562.0,-1490.0,2,12.91
2026Q1,13,12626.0,6,2850.0,-2518.0,2,0.5
