report_quarter,project_stage,planning_year,load_mw
2024Q3,Technical Review,2034,26383.0
2024Q3,Technical Review,2035,26511.0
2024Q3,Technical Review,2036,26553.0
2024Q3,Technical Review,2037,26586.0
2024Q4,Contract for Electric Service,2023,10.0
2024Q4,Contract for Electric Service,2024,196.0
2024Q4,Contract for Electric Service,2025,771.0
2024Q4,Contract for Electric Service,2026,1748.0
2024Q4,Contract for Electric Service,2027,2407.0
2024Q4,Contract for Electric Service,2028,3053.0
2024Q4,Contract for Electric Service,2029,3810.0
2024Q4,Contract for Electric Service,2030,4027.0
2024Q4,Contract for Electric Service,2031,4027.0
2024Q4,Contract for Electric Service,2032,4099.0
2024Q4,Contract for Electric Service,2033,4171.0
2024Q4,Contract for Electric Service,2034,4243.0
2024Q4,Contract for Electric Service,2035,4243.0
2024Q4,Contract for Electric Service,2036,4243.0
2024Q4,Contract for Electric Service,2037,4243.0
2024Q4,Request for Service,2023,0.0
2024Q4,Request for Service,2024,61.0
2024Q4,Request for Service,2025,94.0
2024Q4,Request for Service,2026,106.0
2024Q4,Request for Service,2027,627.0
2024Q4,Request for Service,2028,1832.0
2024Q4,Request for Service,2029,2680.0
2024Q4,Request for Service,2030,3183.0
2024Q4,Request for Service,2031,3533.0
2024Q4,Request for Service,2032,3797.0
2024Q4,Request for Service,2033,3922.0
2024Q4,Request for Service,2034,4031.0
2024Q4,Request for Service,2035,4031.0
2024Q4,Request for Service,2036,4031.0
2024Q4,Request for Service,2037,4031.0
2024Q4,Technical Review,2023,0.0
2024Q4,Technical Review,2024,0.0
2024Q4,Technical Review,2025,90.0
2024Q4,Technical Review,2026,3186.0
2024Q4,Technical Review,2027,9354.0
2024Q4,Technical Review,2028,16407.0
2024Q4,Technical Review,2029,22981.0
2024Q4,Technical Review,2030,28452.0
2024Q4,Technical Review,2031,32483.0
2024Q4,Technical Review,2032,34252.0
2024Q4,Technical Review,2033,34825.0
2024Q4,Technical Review,2034,35223.0
2024Q4,Technical Review,2035,35519.0
2024Q4,Technical Review,2036,35669.0
2024Q4,Technical Review,2037,35906.0
2025Q1,Contract for Electric Service,2023,10.0
