forecast,graphing title,load_2023,load_2024,load_2025,load_2026,load_2027,load_2028,load_2029,load_2030,load_2031,load_2032,load_2033,load_2034,load_2035,load_2036,load_2037
2022-IRP-base,,15550,15581,15636,15657,15674,15659,15760,15799,15960,16060,16250,16401,16565,16720,16965
2023-IRP-base,,15761,15856,16050,16322,16591,16774,16864,16969,17100,17242,17459,17601,17672,17750,17949
2023-IRP-update-incl-LRMP95,,0,15283,15947,17256,18928,19751,20551,21326,21880,22141,22353,22515,22630,22746,22938
2023-IRP-update-w-LRM-minus-2023-IRP-base,"""2023 IRP Update Large Load""",0,0,0,934,2337,2977,3687,4357,4780,4899,4894,4914,4958,4996,4989
2025-IRP-base,,0,15992,16264,16892,18334,20320,22168,23612,24469,24900,25213,25451,25653,25768,25987
2025-IRP-base-minus-2023-IRP-base,"""2025 IRP Large Loads""",0,136,214,570,1743,3546,5304,6643,7369,7658,7754,7850,7981,8018,8038
GPC-all-system-peak-demand,"""Historical system-wide peak demand""",17985,17985,17985,17985,17985,17985,17985,17985,17985,17985,17985,17985,17985,17985,17985
