forecast,load_2023,load_2024,load_2025,load_2026,load_2027,load_2028,load_2029,load_2030,load_2031,load_2032,load_2033,load_2034,load_2035,load_2036,load_2037
2022-IRP-base,15550,15581,15636,15657,15674,15659,15760,15799,15960,16060,16250,16401,16565,16720,16965
2023-IRP-base,"15,761","15,856","16,050","16,322","16,591","16,774","16,864","16,969","17,100","17,242","17,459","17,601","17,672","17,750","17,949"
2023-IRP-update-incl-LRMP95,0,15283,15947,17256,18928,19751,20551,21326,21880,22141,22353,22515,22630,22746,22938
2023-IRP-update-w-LRM-minus-2023-IRP-base,0,0,0,934,"2,337","2,977","3,687","4,357","4,780","4,899","4,894","4,914","4,958","4,996","4,989"
2025-IRP-base,0,15992,16264,16892,18334,20320,22168,23612,24469,24900,25213,25451,25653,25768,25987
2025-IRP-base-minus-2023-IRP-base,0,136,214,570,"1,743","3,546","5,304","6,643","7,369","7,658","7,754","7,850","7,981","8,018","8,038"
